name,metric_tonnes_of_CO2,date_of_information,ranking,region
China,12196000000.0,2023,1,East and Southeast Asia
United States,4795000000.0,2023,2,North America
India,2821000000.0,2023,3,South Asia
Russia,1844000000.0,2023,4,Central Asia
Japan,960230000.0,2023,5,East and Southeast Asia
Indonesia,829655000.0,2023,6,East and Southeast Asia
Iran,823364000.0,2023,7,Middle East
Saudi Arabia,656511000.0,2023,8,Middle East
"Korea, South",644231000.0,2023,9,East and Southeast Asia
Germany,600192000.0,2023,10,Europe
Canada,585853000.0,2023,11,North America
South Africa,446704000.0,2023,12,Africa
Mexico,441049000.0,2023,13,North America
Brazil,437769000.0,2023,14,South America
Turkey (Turkiye),399173000.0,2023,15,Middle East
Australia,394653000.0,2023,16,Australia and Oceania
United Kingdom,340940000.0,2023,17,Europe
Thailand,336693000.0,2023,18,East and Southeast Asia
Italy,307442000.0,2023,19,Europe
Vietnam,305404000.0,2023,20,East and Southeast Asia
France,303779000.0,2023,21,Europe
Taiwan,289109000.0,2023,22,East and Southeast Asia
United Arab Emirates,271703000.0,2023,23,Middle East
Kazakhstan,269830000.0,2023,24,Central Asia
Poland,264031000.0,2023,25,Europe
Malaysia,260005000.0,2023,26,East and Southeast Asia
Spain,254823000.0,2023,27,Europe
Singapore,238962000.0,2023,28,East and Southeast Asia
Egypt,236618000.0,2023,29,Africa
Pakistan,212655000.0,2023,30,South Asia
Argentina,198141000.0,2023,31,South America
Iraq,190815000.0,2023,32,Middle East
Netherlands,188191000.0,2023,33,Europe
Algeria,163661000.0,2023,34,Africa
Philippines,156228000.0,2023,35,East and Southeast Asia
Qatar,127783000.0,2023,36,Middle East
Bangladesh,125956000.0,2023,37,South Asia
Nigeria,114397000.0,2023,38,Africa
Belgium,112083000.0,2023,39,Europe
Uzbekistan,110992000.0,2023,40,Central Asia
Ukraine,106847000.0,2023,41,Europe
Turkmenistan,106215000.0,2023,42,Central Asia
Kuwait,100459000.0,2023,43,Middle East
Colombia,85878000.0,2023,44,South America
Oman,84073000.0,2023,45,Middle East
Chile,83058000.0,2023,46,South America
Czechia,79901000.0,2023,47,Europe
Venezuela,76730000.0,2023,48,South America
Israel,64401000.0,2023,49,Middle East
Morocco,64173000.0,2023,50,Africa
Greece,62060000.0,2023,51,Europe
Romania,61416000.0,2023,52,Europe
Peru,58903000.0,2023,53,South America
Hong Kong,58433000.0,2023,54,East and Southeast Asia
Austria,56959000.0,2023,55,Europe
"Korea, North",55744000.0,2023,56,East and Southeast Asia
Bahrain,47818000.0,2023,57,Middle East
Belarus,46709000.0,2023,58,Europe
Libya,46479000.0,2023,59,Africa
Serbia,44782000.0,2023,60,Europe
Sweden,43960000.0,2023,61,Europe
Hungary,40161000.0,2023,62,Europe
Azerbaijan,38892000.0,2023,63,Central Asia
Norway,38535000.0,2023,64,Europe
Ecuador,38286000.0,2023,65,South America
Portugal,38272000.0,2023,66,Europe
Ireland,35486000.0,2023,67,Europe
Trinidad and Tobago,33629000.0,2023,68,Central America and the Caribbean
Finland,33594000.0,2023,69,Europe
New Zealand,33506000.0,2023,70,Australia and Oceania
Bulgaria,33465000.0,2023,71,Europe
Switzerland,33306000.0,2023,72,Europe
Slovakia,30087000.0,2023,73,Europe
Denmark,29915000.0,2023,74,Europe
Dominican Republic,29713000.0,2023,75,Central America and the Caribbean
Burma,27005000.0,2023,76,East and Southeast Asia
Tunisia,24645000.0,2023,77,Africa
Bosnia and Herzegovina,24513000.0,2023,78,Europe
Panama,23458000.0,2023,79,Central America and the Caribbean
Laos,23412000.0,2023,80,East and Southeast Asia
Jordan,22434000.0,2023,81,Middle East
Bolivia,21552000.0,2023,82,South America
Ghana,20822000.0,2023,83,Africa
Syria,20243000.0,2023,84,Middle East
Cuba,19716000.0,2023,85,Central America and the Caribbean
Angola,19660000.0,2023,86,Africa
Mongolia,19203000.0,2023,87,East and Southeast Asia
Sri Lanka,19153000.0,2023,88,South Asia
Kenya,19023000.0,2023,89,Africa
Puerto Rico,18833000.0,2023,90,Central America and the Caribbean
Cambodia,18779000.0,2023,91,East and Southeast Asia
Guatemala,18546000.0,2023,92,Central America and the Caribbean
Ethiopia,18519000.0,2023,93,Africa
Sudan,18242000.0,2023,94,Africa
Tanzania,17707000.0,2023,95,Africa
Lebanon,17484000.0,2023,96,Middle East
Croatia,16467000.0,2023,97,Europe
Cote d'Ivoire,16280000.0,2023,98,Africa
Gibraltar,15608000.0,2023,99,Europe
Lithuania,12877000.0,2023,100,Europe
Zimbabwe,12578000.0,2023,101,Africa
Kyrgyzstan,11389000.0,2023,102,Central Asia
Nepal,11357000.0,2023,103,South Asia
Brunei,10823000.0,2023,104,East and Southeast Asia
Slovenia,10772000.0,2023,105,Europe
Georgia,10700000.0,2023,106,Central Asia
Honduras,10534000.0,2023,107,Central America and the Caribbean
Senegal,10373000.0,2023,108,Africa
Zambia,9877000.0,2023,109,Africa
Mozambique,9549000.0,2023,110,Africa
Malta,8965000.0,2023,111,Europe
Luxembourg,8715000.0,2023,112,Europe
El Salvador,8694000.0,2023,113,Central America and the Caribbean
Tajikistan,8616000.0,2023,114,Central Asia
Yemen,8193000.0,2023,115,Middle East
Costa Rica,7910000.0,2023,116,Central America and the Caribbean
Jamaica,7890000.0,2023,117,Central America and the Caribbean
Afghanistan,7757000.0,2023,118,South Asia
Paraguay,7509000.0,2023,119,South America
Kosovo,7444000.0,2023,120,Europe
North Macedonia,7369000.0,2023,121,Europe
Armenia,7144000.0,2023,122,Central Asia
Moldova,7093000.0,2023,123,Europe
Uruguay,6896000.0,2023,124,South America
Mali,6858000.0,2023,125,Africa
Cyprus,6837000.0,2023,126,Europe
Cameroon,6707000.0,2023,127,Africa
Latvia,6427000.0,2023,128,Europe
Uganda,6354000.0,2023,129,Africa
Benin,5948000.0,2023,130,Africa
Botswana,5897000.0,2023,131,Africa
"Congo, Democratic Republic of the",5883000.0,2023,132,Africa
Papua New Guinea,5798000.0,2023,133,East and Southeast Asia
Mauritius,5551000.0,2023,134,Africa
Equatorial Guinea,5471000.0,2023,135,Africa
Burkina Faso,5243000.0,2023,136,Africa
New Caledonia,4887000.0,2023,137,Australia and Oceania
Mauritania,4860000.0,2023,138,Africa
Estonia,4607000.0,2023,139,Europe
Guinea,4505000.0,2023,140,Africa
Madagascar,3936000.0,2023,141,Africa
Gaza Strip,3913000.0,2023,142,Middle East
West Bank,3913000.0,2023,143,Middle East
Nicaragua,3806000.0,2023,144,Central America and the Caribbean
Namibia,3460000.0,2023,145,Africa
Albania,3392000.0,2023,146,Europe
Gabon,3144000.0,2023,147,Africa
Niger,3132000.0,2023,148,Africa
Iceland,3101000.0,2023,149,Europe
"Bahamas, The",2990000.0,2023,150,Central America and the Caribbean
Haiti,2854000.0,2023,151,Central America and the Caribbean
Montenegro,2808000.0,2023,152,Europe
"Congo, Republic of the",2660000.0,2023,153,Africa
Togo,2656000.0,2023,154,Africa
Guyana,2639000.0,2023,155,South America
Suriname,2521000.0,2023,156,South America
Virgin Islands,2378000.0,2023,157,Central America and the Caribbean
Malawi,2265000.0,2023,158,Africa
Chad,2054000.0,2023,159,Africa
Maldives,1908000.0,2023,160,South Asia
Guam,1819000.0,2023,161,Australia and Oceania
South Sudan,1725000.0,2023,162,Africa
Rwanda,1645000.0,2023,163,Africa
Macau,1595000.0,2023,164,East and Southeast Asia
Fiji,1432000.0,2023,165,Australia and Oceania
Barbados,1348000.0,2023,166,Central America and the Caribbean
Sierra Leone,1342000.0,2023,167,Africa
Eswatini,1326000.0,2023,168,Africa
Wake Island,1214000.0,2023,169,Australia and Oceania
Aruba,1163000.0,2023,170,Central America and the Caribbean
Lesotho,1148000.0,2023,171,Africa
French Polynesia,1010000.0,2023,172,Australia and Oceania
Seychelles,893.0,2023,173,Africa
Burundi,838.0,2023,174,Africa
Somalia,838.0,2023,175,Africa
Faroe Islands,742.0,2023,176,Europe
Cayman Islands,737.0,2023,177,Central America and the Caribbean
Bhutan,733.0,2023,178,South Asia
Eritrea,733.0,2023,179,Africa
Antigua and Barbuda,725.0,2023,180,Central America and the Caribbean
Cabo Verde,714.0,2023,181,Africa
Djibouti,685.0,2023,182,Africa
Liberia,671.0,2023,183,Africa
Belize,662.0,2023,184,Central America and the Caribbean
Timor-Leste,660.0,2023,185,East and Southeast Asia
Saint Lucia,605.0,2023,186,Central America and the Caribbean
Bermuda,577.0,2023,187,North America
"Gambia, The",537.0,2023,188,Africa
Greenland,527.0,2023,189,North America
Turks and Caicos Islands,447.0,2023,190,Central America and the Caribbean
Comoros,436.0,2023,191,Africa
American Samoa,389.0,2023,192,Australia and Oceania
Guinea-Bissau,366.0,2023,193,Africa
Grenada,348.0,2023,194,Central America and the Caribbean
Samoa,335.0,2023,195,Australia and Oceania
Solomon Islands,318.0,2023,196,Australia and Oceania
Central African Republic,313.0,2023,197,Africa
United States Pacific Island Wildlife Refuges,294.0,2023,198,Australia and Oceania
Marshall Islands,293.7,2017,199,Australia and Oceania
Vanuatu,292.0,2023,200,Australia and Oceania
Saint Kitts and Nevis,269.0,2023,201,Central America and the Caribbean
Saint Vincent and the Grenadines,268.0,2023,202,Central America and the Caribbean
British Virgin Islands,188.0,2023,203,Central America and the Caribbean
Tonga,174.0,2023,204,Australia and Oceania
Dominica,168.0,2023,205,Central America and the Caribbean
Sao Tome and Principe,146.0,2023,206,Africa
"Micronesia, Federated States of",121.0,2023,207,Australia and Oceania
Cook Islands,103.0,2023,208,Australia and Oceania
Nauru,86.0,2023,209,Australia and Oceania
Kiribati,81.0,2023,210,Australia and Oceania
Saint Pierre and Miquelon,57.0,2023,211,North America
Falkland Islands (Islas Malvinas),36.0,2023,212,South America
Montserrat,24.0,2023,213,Central America and the Caribbean
Antarctica,15.0,2023,214,Antarctica
"Saint Helena, Ascension, and Tristan da Cunha",12.0,2023,215,Africa
Niue,9.0,2023,216,Australia and Oceania
